,AUC,Accuracy,BA,Kappa,MCC,Sensitivity,Specificity,cv,data,f1_score,pr_auc,prediction_time,roc_auc,train_time
110,0.4922330097087379,0.7870370370370371,0.5077669902912622,0.0063999999999998,0.0084029163180313,0.2,0.8155339805825242,0.0,Ham,0.8795811518324607,0.9539977524827934,7.05718994140625e-05,0.4504854368932038,7.395846366882324
111,0.5067961165048545,0.7592592592592593,0.4932038834951456,-0.0050107372942016,-0.0069762340828341,0.2,0.7864077669902912,1.0,Ham,0.8617021276595745,0.961701168298862,7.033348083496094e-05,0.5320388349514563,7.472754955291748
112,0.5436893203883495,0.8703703703703703,0.4563106796116505,-0.0632911392405062,-0.0664308863819372,0.0,0.912621359223301,2.0,Ham,0.9306930693069309,0.9576800113576152,7.05718994140625e-05,0.454368932038835,7.423037052154541
113,0.6067961165048543,0.75,0.3932038834951456,-0.0816023738872404,-0.1114367671909043,0.0,0.7864077669902912,3.0,Ham,0.8571428571428571,0.9723996430876074,6.723403930664062e-05,0.5825242718446602,7.37703275680542
114,0.3728155339805825,0.8333333333333334,0.6271844660194175,0.1187669990933816,0.1467650085754023,0.4,0.8543689320388349,4.0,Ham,0.9072164948453608,0.9503017992635686,6.67572021484375e-05,0.5611650485436893,7.376443862915039
115,0.5019417475728155,0.7685185185185185,0.4980582524271845,-0.0014836795252226,-0.0020261230398346,0.2,0.7961165048543689,5.0,Ham,0.8677248677248678,0.9555725178678984,6.67572021484375e-05,0.4854368932038835,7.383947849273682
116,0.4116504854368932,0.7592592592592593,0.5883495145631068,0.0608695652173912,0.0880295997603583,0.4,0.7766990291262136,6.0,Ham,0.8602150537634409,0.9837563368821995,7.200241088867188e-05,0.7262135922330096,7.3779616355896
117,0.4067961165048543,0.7685185185185185,0.5932038834951456,0.0663900414937759,0.0942154994301416,0.4,0.7864077669902912,7.0,Ham,0.8663101604278075,0.9218456550068992,6.4849853515625e-05,0.5106796116504855,7.367889881134033
118,0.587378640776699,0.7870370370370371,0.4126213592233009,-0.0781249999999997,-0.0985329278164293,0.0,0.8252427184466019,8.0,Ham,0.8808290155440415,0.9362834271862432,6.771087646484375e-05,0.2854368932038835,7.473986387252808
119,0.5776699029126213,0.8055555555555556,0.4223300970873786,-0.0759013282732448,-0.0918824289588161,0.0,0.8446601941747572,9.0,Ham,0.8923076923076922,0.9231913244558136,6.914138793945312e-05,0.2116504854368932,7.524419069290161
120,0.5844155844155844,0.7901234567901234,0.4155844155844156,-0.0816967792615868,-0.0996556331842955,0.0,0.8311688311688312,0.0,Herring,0.8827586206896552,0.927853842522286,4.506111145019531e-05,0.2857142857142857,5.6469340324401855
121,0.4269480519480519,0.8641975308641975,0.573051948051948,0.091743119266055,0.1007278705031725,0.25,0.8961038961038961,1.0,Herring,0.9261744966442952,0.965663950950161,4.506111145019531e-05,0.6233766233766234,5.6409313678741455
122,0.4334415584415584,0.8518518518518519,0.5665584415584415,0.0777988614800758,0.0876757165843574,0.25,0.8831168831168831,2.0,Herring,0.918918918918919,0.980279397071198,5.078315734863281e-05,0.6915584415584416,5.505479335784912
123,0.551948051948052,0.8518518518518519,0.448051948051948,-0.0704845814977974,-0.0754515553172134,0.0,0.8961038961038961,3.0,Herring,0.92,0.949742961866486,4.291534423828125e-05,0.3863636363636363,5.550887584686279
124,0.551948051948052,0.8518518518518519,0.448051948051948,-0.0704845814977974,-0.0754515553172134,0.0,0.8961038961038961,4.0,Herring,0.92,0.9492412153101146,4.148483276367188e-05,0.4318181818181818,5.558949708938599
125,0.5454545454545454,0.8641975308641975,0.4545454545454545,-0.067065868263473,-0.0700999637232781,0.0,0.9090909090909092,5.0,Herring,0.9271523178807948,0.9680377131765572,4.029273986816406e-05,0.5454545454545454,5.333769083023071
126,0.4529220779220779,0.8148148148148148,0.547077922077922,0.0455616653574234,0.0555771800450879,0.25,0.8441558441558441,6.0,Herring,0.8965517241379309,0.9361216373824368,4.553794860839844e-05,0.4383116883116883,5.368701696395874
127,0.4269480519480519,0.8641975308641975,0.573051948051948,0.091743119266055,0.1007278705031725,0.25,0.8961038961038961,7.0,Herring,0.9261744966442952,0.9407683603488388,4.863739013671875e-05,0.4642857142857143,5.385743141174316
128,0.413961038961039,0.8888888888888888,0.586038961038961,0.1269461077844311,0.1326892170476336,0.25,0.922077922077922,8.0,Herring,0.9403973509933776,0.9791582050810892,4.100799560546875e-05,0.6948051948051948,5.461872339248657
129,0.4659090909090909,0.7901234567901234,0.5340909090909092,0.0295983086680761,0.0380300012060943,0.25,0.8181818181818182,9.0,Herring,0.881118881118881,0.9524367609927124,4.124641418457031e-05,0.4415584415584416,5.4446635246276855
130,0.4155251141552511,0.8157894736842105,0.5844748858447488,0.0650263620386643,0.0873650471771629,0.3333333333333333,0.8356164383561644,0.0,Lightning2,0.8970588235294118,0.98796448958543,4.57763671875e-05,0.7442922374429224,7.293006896972656
131,0.317351598173516,0.6973684210526315,0.682648401826484,0.0838574423480085,0.1530243829349628,0.6666666666666666,0.6986301369863014,1.0,Lightning2,0.8160000000000001,0.9917532202601528,4.76837158203125e-05,0.821917808219178,7.302150249481201
132,0.4908675799086758,0.6710526315789473,0.5091324200913242,0.0041928721174004,0.0076512191467481,0.3333333333333333,0.684931506849315,2.0,Lightning2,0.7999999999999999,0.977080906066961,4.696846008300781e-05,0.5662100456621004,7.437220096588135
133,0.45662100456621,0.7368421052631579,0.54337899543379,0.024390243902439,0.0390137157320435,0.3333333333333333,0.7534246575342466,3.0,Lightning2,0.8461538461538461,0.9857737287910044,4.887580871582031e-05,0.7077625570776256,7.441410779953003
134,0.2694063926940639,0.7894736842105263,0.730593607305936,0.1424541607898447,0.2155007817040437,0.6666666666666666,0.7945205479452054,4.0,Lightning2,0.8787878787878787,0.989661661170424,4.673004150390625e-05,0.7716894977168951,7.31874418258667
135,0.317351598173516,0.6973684210526315,0.682648401826484,0.0838574423480085,0.1530243829349628,0.6666666666666666,0.6986301369863014,5.0,Lightning2,0.8160000000000001,0.9944385349334416,4.744529724121094e-05,0.8812785388127855,7.399874925613403
136,0.5821917808219178,0.8026315789473685,0.4178082191780822,-0.0674157303370786,-0.0877808603970979,0.0,0.8356164383561644,6.0,Lightning2,0.8905109489051095,0.9887890707819912,4.863739013671875e-05,0.7534246575342467,7.349092483520508
137,0.4223744292237443,0.8026315789473685,0.5776255707762556,0.0562913907284768,0.0779824718340424,0.3333333333333333,0.821917808219178,7.0,Lightning2,0.8888888888888888,0.9911420025157776,4.76837158203125e-05,0.7990867579908676,7.48495078086853
138,0.4292237442922374,0.7894736842105263,0.5707762557077626,0.0485133020344287,0.0692514847950449,0.3333333333333333,0.8082191780821918,8.0,Lightning2,0.880597014925373,0.991609149207473,4.6253204345703125e-05,0.812785388127854,7.310576915740967
139,0.595890410958904,0.7763157894736842,0.4041095890410959,-0.0695364238410596,-0.09633128873617,0.0,0.8082191780821918,9.0,Lightning2,0.874074074074074,0.974784888387496,4.7206878662109375e-05,0.5890410958904111,7.461569309234619
170,0.3640105433901054,0.9334257975034674,0.6359894566098946,0.2793303069426512,0.2794563247482175,0.3055555555555556,0.9664233576642336,0.0,MoteStrain,0.9650145772594751,0.984516458958194,0.0005948543548583,0.8143552311435523,91.42599391937256
171,0.311374695863747,0.9334257975034674,0.688625304136253,0.3496448303078137,0.3508059513628239,0.4166666666666667,0.9605839416058394,1.0,MoteStrain,0.9648093841642228,0.9858166491955892,0.0006599426269531,0.8410786699107867,91.19142580032349
172,0.3281832927818329,0.926490984743412,0.6718167072181671,0.3072460615289788,0.3093943073287107,0.3888888888888889,0.9547445255474452,2.0,MoteStrain,0.9610580455547392,0.9893716632891276,0.0006458759307861,0.8668288726682888,91.35254549980164
173,0.3391524736415247,0.9306518723994452,0.6608475263584752,0.3056090607905077,0.3060817012283753,0.3611111111111111,0.9605839416058394,3.0,MoteStrain,0.9633967789165446,0.9893048644410608,0.0007474422454833,0.8621654501216545,91.24393272399902
174,0.3376926196269261,0.9334257975034674,0.6623073803730738,0.3162906475957169,0.3164190701645797,0.3611111111111111,0.9635036496350364,4.0,MoteStrain,0.9649122807017544,0.986887139116036,0.0007784366607666,0.8311435523114356,91.2191150188446
175,0.3252635847526359,0.9320388349514565,0.6747364152473642,0.3278987919718443,0.3286726518815028,0.3888888888888889,0.9605839416058394,5.0,MoteStrain,0.964102564102564,0.9832767293334718,0.0006361007690429,0.816382806163828,92.06761908531188
176,0.2587388483373884,0.9334257975034674,0.7412611516626115,0.4074581378625483,0.4136829922783296,0.5277777777777778,0.9547445255474452,6.0,MoteStrain,0.9646017699115044,0.9952334962824048,0.0006680488586425,0.9173560421735604,90.9376769065857
177,0.3274533657745336,0.9278779472954232,0.6725466342254663,0.3122248312298209,0.3139874945292267,0.3888888888888889,0.9562043795620438,7.0,MoteStrain,0.961820851688693,0.986620807834254,0.0007381439208984,0.8314679643146796,90.28692841529846
